Time resolution is 1 ps
Time	PC		Instruction	ALU_Result
0	00000000	00500093	00000000
25000	00000004	00a00113	00000000
35000	00000008	002081b3	00000000
45000	0000000c	00310233	00000000
55000	00000010	00002083	00000005
65000	00000014	00108133	0000000a
75000	00000018	002081b3	0000000f
85000	00000018	002081b3	00000019
95000	0000001c	40110233	00000000
105000	00000020	00000000	00000000
115000	00000024	00000000	00000000
125000	00000028	00000000	00000000
135000	0000002c	00000000	00000000
145000	00000030	00000000	00000000
155000	00000034	00000000	00000000
165000	00000038	00000000	00000000
175000	0000003c	00000000	00000000
185000	00000040	00000000	00000000
195000	00000044	00000000	00000000
205000	00000048	00000000	00000000
215000	0000004c	00000000	00000000
225000	00000050	00000000	00000000
235000	00000054	00000000	00000000
245000	00000058	00000000	00000000
255000	0000005c	00000000	00000000
265000	00000060	00000000	00000000
275000	00000064	00000000	00000000
285000	00000068	00000000	00000000
295000	0000006c	00000000	00000000
Simulation Finished
$finish called at time : 300 ns : File "C:/vivado_project/RISC_V/RISC_V.srcs/sim_1/new/cpu_top_tb.v" Line 68
